CustomerID,frequency,monetary,total_units,unique_products,country,recency,tenure,avg_order_value,is_repeat,avg_days_between_orders,R,F,M,RFM_score,segment,cluster,cluster_name
12347,7,4310.0,2458,103,Iceland,2,367,615.7142857142857,True,60.333333333333336,5,5,5,15,Champions,2,High-Value Loyal
12348,4,1437.24,2332,21,Finland,75,358,359.31,True,94.0,2,4,4,10,At Risk,1,Lapsing Mid-Value
12349,1,1457.55,630,72,Italy,18,18,1457.55,False,,4,1,4,9,New / Promising,3,Active Mid-Value
12350,1,294.40000000000003,196,16,Norway,310,310,294.40000000000003,False,,1,1,2,4,Lost,0,Dormant Low-Value
12352,7,1385.74,526,57,Norway,36,296,197.96285714285713,True,43.0,3,5,4,12,Loyal,1,Lapsing Mid-Value
12353,1,89.0,20,4,Bahrain,204,204,89.0,False,,1,1,1,3,Lost,0,Dormant Low-Value
12354,1,1079.4,530,58,Spain,232,232,1079.4,False,,1,1,4,6,Lost,0,Dormant Low-Value
12355,1,459.40000000000003,240,13,Bahrain,214,214,459.40000000000003,False,,1,1,2,4,Lost,0,Dormant Low-Value
12356,3,2487.43,1573,52,Portugal,22,325,829.1433333333333,True,151.0,4,3,5,12,Loyal,1,Lapsing Mid-Value
12357,1,6207.67,2708,131,Switzerland,33,33,6207.67,False,,3,1,5,9,Needs Attention,1,Lapsing Mid-Value
12358,2,928.0600000000001,242,12,Austria,1,150,464.03000000000003,True,149.0,5,2,4,11,New / Promising,3,Active Mid-Value
12359,4,6310.03,1609,214,Cyprus,57,331,1577.5075,True,91.0,3,4,5,12,Loyal,1,Lapsing Mid-Value
12360,3,2302.06,1156,104,Austria,52,200,767.3533333333334,True,74.0,3,3,5,11,Loyal,1,Lapsing Mid-Value
12361,1,174.9,90,9,Belgium,287,287,174.9,False,,1,1,1,3,Lost,0,Dormant Low-Value
12362,10,4737.2300000000005,2197,200,Belgium,3,295,473.72300000000007,True,31.88888888888889,5,5,5,15,Champions,2,High-Value Loyal
12363,2,552.0,408,23,Unspecified,109,242,276.0,True,132.0,2,2,3,7,Lost,0,Dormant Low-Value
